Zip code,Latitude,Longitude,Number of Level 2 chargers
48750,44.644792,-83.349745,5
48737,44.6829768,-83.6115157,1
49701,46.46577744,-86.96070529,10
49735,44.94815445,-84.8696308,5
48763,44.10597165,-83.57682735,2
49630,46.74705003,-88.42774132,9
49630,46.53570184,-88.18713144,12
48631,43.59540565,-83.89022073,6
48631,43.6251328,-83.8936693,1
48631,43.598337,-83.8809171,1
48631,43.58533925,-83.86077145,3
48631,43.58648638,-83.91622335,5
48631,43.5580949,-83.8929872,1
48631,43.8561393,-83.9655444,1
48631,43.6611513,-83.9493185,1
48611,43.5987377,-84.0881438,1
48631,43.71714305,-83.9711028,3
48631,43.6270606,-83.7795142,1
49630,44.63202887,-86.23647499,8
49630,44.55893057,-86.2107612,4
49630,44.521759,-86.0775452,1
49630,44.60820905,-86.1859358,2
49685,44.53513126,-85.99029078,5
49406,42.10192785,-86.48896615,2
49406,42.0844192,-86.48289475,2
49406,42.103296,-86.434591,1
49406,42.074589,-86.4795121,1
49406,42.00267568,-86.5315109,5
49009,42.0420905,-86.4343166,1
49009,41.92952435,-86.571841,2
49009,41.8329974,-86.3357062,1
49009,41.83428557,-86.41891673,4
49009,41.8059148,-86.2666859,1
49009,41.81265283,-86.2475365,4
49009,41.8497632,-86.29975705,2
49080,42.32161645,-85.1851112,1
49080,42.3695564,-85.1460189,1
49080,42.2971161,-85.2225687,1
49009,42.1712906,-85.2638424,1
49009,41.98785757,-85.91152957,21
49009,41.94314939,-85.80957453,9
49009,41.8267727,-86.197242,1
49770,45.29386843,-85.0766989,4
49701,45.7230187,-84.6095215,10
49721,45.7159209,-84.58634493,4
49721,45.50887374,-84.4141571,7
49749,45.36848577,-84.62830607,4
49749,45.370837,-84.5302339,1
49749,45.2734737,-84.5994186,2
49749,45.235389,-84.5599235,1
49701,46.65556834,-85.05423052,37
49701,46.3326486,-85.1389578,1
49701,46.3971614,-84.6039551,1
49701,46.1998562,-85.0170143,7
49701,46.10949103,-84.0802589,4
48629,44.15414427,-84.86734053,4
48617,44.02082675,-85.0084974,2
48617,43.94338898,-85.00555604,13
48629,44.09946747,-84.77569947,4
48629,44.1360817,-84.661171,1
48617,43.9219812,-84.7479074,1
48823,43.0021297,-84.5582917,1
48823,43.0159093,-84.5590509,1
48823,42.9966393,-84.5562469,1
49738,44.65333786,-84.7840088,6
49630,45.7870467,-87.07615025,9
49630,45.9417076,-87.0529861,1
49630,45.9336726,-87.2108536,4
49630,45.9758987,-87.1050568,6
49630,45.8300018,-86.9020004,1
49630,45.9046173,-86.6398926,1
49630,45.83924435,-86.6638427,3
49630,46.21302703,-88.0238061,4
49630,46.00515493,-88.0426865,4
49630,46.0294726,-87.85512345,3
49630,45.9738951,-87.7130657,3
48837,42.5508048,-84.8535831,1
48837,42.5506747,-84.82449627,4
48837,42.7533408,-84.6383068,1
48837,42.4464947,-84.9454688,1
49770,45.3819027,-84.94154627,3
49701,45.64003925,-85.03797756,12
49701,45.69676078,-84.76210445,6
49701,45.57100162,-85.099996,7
49701,45.574392,-84.7829177,1
49749,45.507679,-84.7605286,7
48502,43.0747609,-83.66990535,2
48502,43.0050666,-83.7070416,1
48502,43.00143455,-83.653981,2
48502,43.1147106,-83.6950756,1
48502,43.0135655,-83.5141376,1
48502,43.0086354,-83.6336884,1
48507,42.98054563,-83.65279447,4
48507,42.97280405,-83.7212372,2
48507,42.9573397,-83.8324716,1
48507,42.7987752,-83.7129542,1
48507,42.805832,-83.883056,1
48629,44.10578225,-84.58856535,6
48661,44.10774566,-84.32435616,19
48661,44.1131172,-84.25934853,4
48661,44.05622533,-84.35225336,10
48657,43.8698784,-84.2090209,1
49630,46.46298148,-90.15289676,7
49630,46.46343257,-90.17704239,13
49630,46.5474205,-89.7758408,1
49685,44.76317498,-85.59989645,8
49685,44.74647085,-85.53768513,43
