Zip code,Latitude,Longitude,Number of required Level 2 chargers
48750,44.644792,-83.349745,2
48737,44.641232,-83.463629,3
49701,46.448788,-87.0058,1
48763,44.124846,-83.62791,1
48763,44.067856,-83.639256,6
49630,46.75273,-88.447953,11
48631,43.593795,-83.890997,3
48631,43.606024,-83.905895,15
48631,43.618216,-83.883738,2
48631,43.608183,-83.87684,42
48631,43.600625,-83.898489,20
48631,43.600525,-83.877647,25
48631,43.598242,-83.863338,24
48631,43.593299,-83.87846,42
48631,43.584749,-83.907742,13
48631,43.579972,-83.891616,40
48631,43.584754,-83.878752,9
48631,43.572578,-83.879142,2
48631,43.56436,-83.896484,4
48631,43.612251,-83.84237,10
48631,43.664947,-83.914922,1
48611,43.602139,-84.075697,11
48631,43.693543,-84.005533,1
48631,43.699255,-83.95002,3
48631,43.593749,-83.836438,41
48631,43.603086,-83.769551,8
49685,44.557963,-85.998659,4
49406,42.103589,-86.473766,19
49406,42.100509,-86.487408,15
49406,42.08963,-86.481457,1
49406,42.112977,-86.441121,3
49406,42.109954,-86.458194,58
49406,42.099582,-86.45355,2
49406,42.10421,-86.440952,4
49009,42.13221,-86.357299,1
49406,42.084916,-86.465182,2
49406,42.059749,-86.505556,22
49406,42.001123,-86.525648,16
49009,42.019917,-86.428909,3
49009,41.931671,-86.40499,5
49009,41.963998,-86.360478,49
49009,41.947489,-86.340977,29
49009,41.828495,-86.365565,52
49009,41.829967,-86.253608,36
49009,41.825903,-86.268142,20
49009,41.821261,-86.243215,21
49009,41.835015,-86.294546,5
49009,41.824015,-86.229479,5
49009,41.785392,-85.116725,2
49080,42.32222,-85.182751,18
49080,42.345097,-85.234153,39
49080,42.340869,-85.1955,29
49080,42.329043,-85.198658,6
49080,42.324628,-85.169163,43
49080,42.317455,-85.154725,9
49080,42.308415,-85.198565,5
49080,42.382305,-85.156284,3
49080,42.305861,-85.225589,24
49080,42.292671,-85.212517,21
49080,42.299503,-85.160749,1
49202,42.113963,-84.7666,6
49009,41.836135,-86.201354,3
49009,41.796522,-86.083516,1
49009,41.78511,-86.048209,7
49770,45.252001,-85.017894,5
48823,43.002117,-84.560433,19
48823,43.013406,-84.555279,9
48823,42.990605,-84.553566,11
48811,42.98806,-84.77869,3
48837,42.900416,-84.778735,1
48811,42.98749,-84.651366,2
48811,43.074881,-84.660181,1
48867,43.0032,-84.374097,5
48837,42.9002,-84.661099,1
48823,42.836245,-84.575057,28
49738,44.633449,-84.785498,11
49630,45.791309,-88.047514,3
49630,46.17202,-88.012191,1
48837,42.559246,-84.849995,11
48837,42.550294,-84.83527,13
48837,42.640001,-85.015877,2
48837,42.723992,-84.781985,1
48837,42.744874,-84.741763,33
48837,42.758994,-84.626519,35
48837,42.733846,-84.622613,120
48837,42.443997,-84.924613,13
49770,45.377026,-84.948043,23
49749,45.507571,-84.791519,3
48502,43.068844,-83.723452,16
48502,43.072049,-83.699153,1
48502,43.067786,-83.669845,3
48502,43.053762,-83.72404,1
48502,43.058322,-83.701113,5
48502,43.051401,-83.700697,2
48502,43.042504,-83.723252,1
48502,43.043034,-83.699968,8
48502,43.035107,-83.703091,7
48502,43.043982,-83.682828,1
48502,43.046868,-83.650472,9
48502,43.03027,-83.730307,3
48502,43.016984,-83.703636,20
48502,43.027465,-83.691389,41
48502,43.027484,-83.681245,3
48502,43.020514,-83.662927,11
48502,43.008427,-83.728013,15
48502,43.009262,-83.700956,6
48502,43.007922,-83.66705,18
48502,42.994042,-83.696963,25
48502,42.992808,-83.664824,10
48502,42.996568,-83.648763,13
48415,43.176345,-83.893185,14
48415,43.177242,-83.735489,26
48415,43.183086,-83.780514,1
48502,43.128963,-83.716983,16
48502,43.098314,-83.712568,11
